manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Results,Table 2,Table 2,MAE,0.033042,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,0.0330424066343567,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.005590,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,-0.0055904452425919,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8116694455252969,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,0.8116694455252969,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9039382033914632,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,0.9039382033914632,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.042381,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,0.0423813599278264,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.032940,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,0.0329399323498866,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.006596,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,-0.0065957525893229,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.811670678049817,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,0.811670678049817,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.903938203391462,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,0.903938203391462,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.072786,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,0.0727859818139534,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.059770,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,0.0597696586373336,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.032090,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,-0.0320900111554334,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.4714880048218224,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,0.4714880048218224,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.7579114802276049,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,0.7579114802276049,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.076423,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023; target_year=2025,0.0764232508466077,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.062518,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023; target_year=2025,0.0625182505991173,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.038082,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023; target_year=2025,-0.0380818853922085,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.4173464801933024,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023; target_year=2025,0.4173464801933024,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.7579801645602897,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023; target_year=2025,0.7579801645602897,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.079832,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2024; target_year=2025,0.0798319825140218,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.066229,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2024; target_year=2025,0.0662292313325491,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.045879,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2024; target_year=2025,-0.0458787664269048,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.364210738573093,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2024; target_year=2025,0.364210738573093,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.7578994922621423,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2024; target_year=2025,0.7578994922621423,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.074803,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022_2023; target_year=2025,0.0748030360390739,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.061285,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022_2023; target_year=2025,0.0612845656492012,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.035546,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022_2023; target_year=2025,-0.0355455908798914,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.4417897468291138,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022_2023; target_year=2025,0.4417897468291138,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.7579687421506721,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022_2023; target_year=2025,0.7579687421506721,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.077072,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023_2024; target_year=2025,0.0770719252230506,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.063370,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023_2024; target_year=2025,0.0633704849612775,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.040297,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023_2024; target_year=2025,-0.0402972454217138,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.4074134710845062,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023_2024; target_year=2025,0.4074134710845062,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.7579674240266432,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2023_2024; target_year=2025,0.7579674240266432,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.075923,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022_2024; target_year=2025,0.0759227317183154,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
